  , ,pop1, pop2 ,mo_rap, mo_len, mo_sol
,0,10.98941,9.94700,0.99947,0.97000,8.52385
,1,12.07671,9.89428,0.99979,0.94090,6.89688
,2,13.27158,9.84184,1.00103,0.91267,5.10430
,3,14.58468,9.78968,1.00327,0.88529,3.12985
,4,16.02770,9.73779,1.00660,0.85873,0.95563
,5,17.61349,9.68618,1.01112,0.83297,-1.43798
,6,19.35618,9.63485,1.01695,0.80798,-4.07261
,7,21.27130,9.58378,1.02420,0.78374,-6.97197
,8,23.37589,9.53299,1.03301,0.76023,-10.16216
,9,25.68872,9.48246,1.04352,0.73742,-13.67186
,10,28.23038,9.43221,1.05590,0.71530,-17.53258
,11,31.02351,9.38222,1.07032,0.69384,-21.77894
,12,34.09300,9.33249,1.08698,0.67303,-26.44903
,13,37.46618,9.28303,1.10609,0.65284,-31.58466
,14,41.17311,9.23383,1.12789,0.63325,-37.23181
,15,45.24680,9.18489,1.15263,0.61425,-43.44101
,16,49.72355,9.13621,1.18060,0.59583,-50.26779
,17,54.64324,9.08779,1.21211,0.57795,-57.77316
,18,60.04967,9.03962,1.24751,0.56061,-66.02419
,19,65.99103,8.99171,1.28718,0.54379,-75.09458
,20,72.52022,8.94406,1.33152,0.52748,-85.06532
,21,79.69542,8.89665,1.38099,0.51166,-96.02543
,22,87.58054,8.84950,1.43610,0.49631,-108.07271
,23,96.24582,8.80260,1.49740,0.48142,-121.31468
,24,105.76844,8.75594,1.56549,0.46697,-135.86946
,25,116.23324,8.70954,1.64103,0.45297,-151.86688
,26,127.73344,8.66338,1.72477,0.43938,-169.44962
,27,140.37147,8.61746,1.81749,0.42620,-188.77447
,28,154.25992,8.57179,1.92010,0.41341,-210.01373
,29,169.52250,8.52636,2.03355,0.40101,-233.35676
,30,186.29517,8.48117,2.15891,0.38898,-259.01166
,31,204.72733,8.43622,2.29736,0.37731,-287.20710
,32,224.98319,8.39151,2.45018,0.36599,-318.19439
,33,247.24318,8.34703,2.61880,0.35501,-352.24973
,34,271.70558,8.30279,2.80476,0.34436,-389.67659
,35,298.58831,8.25879,3.00978,0.33403,-430.80853
,36,328.13084,8.21502,3.23573,0.32401,-476.01208
,37,360.59633,8.17148,3.48469,0.31429,-525.69003
,38,396.27397,8.12817,3.75892,0.30486,-580.28505
,39,435.48158,8.08509,4.06092,0.29571,-640.28358
,40,478.56841,8.04224,4.39343,0.28684,-706.22022
,41,525.91829,7.99961,4.75946,0.27824,-778.68244
,42,577.95300,7.95721,5.16232,0.26989,-858.31585
,43,635.13605,7.91504,5.60566,0.26179,-945.82992
,44,697.97684,7.87309,6.09346,0.25394,-1042.00435
,45,767.03513,7.83136,6.63013,0.24632,-1147.69596
,46,842.92610,7.78986,7.22050,0.23893,-1263.84634
,47,926.32577,7.74857,7.86987,0.23176,-1391.49027
,48,1017.97705,7.70750,8.58407,0.22481,-1531.76487
,49,1118.69638,7.66665,9.36951,0.21807,-1685.91982
,50,1229.38095,7.62602,10.23325,0.21152,-1855.32840
,51,1351.01672,7.58560,11.18301,0.20518,-2041.49980
,52,1484.68721,7.54540,12.22730,0.19902,-2246.09250
,53,1631.58315,7.50541,13.37548,0.19305,-2470.92909
,54,1793.01307,7.46563,14.63782,0.18726,-2718.01249
,55,1970.41498,7.42606,16.02559,0.18164,-2989.54378
,56,2165.36915,7.38670,17.55123,0.17619,-3287.94182
,57,2379.61222,7.34755,19.22834,0.17091,-3615.86481
,58,2615.05264,7.30861,21.07193,0.16578,-3976.23393
,59,2873.78769,7.26988,23.09846,0.16081,-4372.25941
,60,3158.12216,7.23135,25.32601,0.15598,-4807.46908
,61,3470.58886,7.19302,27.77448,0.15130,-5285.73982
,62,3813.97124,7.15490,30.46572,0.14676,-5811.33211
,63,4191.32809,7.11698,33.42374,0.14236,-6388.92794
,64,4606.02089,7.07926,36.67494,0.13809,-7023.67257
,65,5061.74366,7.04174,40.24832,0.13395,-7721.22031
,66,5562.55595,7.00442,44.17575,0.12993,-8487.78491
,67,6112.91894,6.96729,48.49225,0.12603,-9330.19494
,68,6717.73521,6.93037,53.23632,0.12225,-10255.95457
,69,7382.39241,6.89363,58.45025,0.11858,-11273.31044
